asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,sensor_status,anomaly_label,failure_within_50_hours
A001,2025-01-01 03:00:00,A001-BAT,Battery,71.032,2.821,74.406,55.442,1810.502,150.837,24.296,75.522,277,62.228,30.338,Normal,0,0
A001,2025-01-01 04:00:00,A001-BAT,Battery,73.191,2.47,74.453,54.42,1934.545,146.487,24.327,71.734,369,54.18,30.814,Normal,0,0
A001,2025-01-01 19:00:00,A001-BAT,Battery,73.519,2.81,80.072,52.884,1777.925,152.872,24.095,74.723,161,56.726,23.126,Normal,0,1
A001,2025-01-02 03:00:00,A001-BAT,Battery,77.351,2.802,76.176,55.338,1722.299,149.072,23.866,76.442,436,66.295,24.707,Normal,0,0
A001,2025-01-03 02:00:00,A001-BAT,Battery,71.14,2.801,72.874,53.94,1792.657,142.552,23.285,77.214,287,55.553,17.176,Normal,0,0
A001,2025-01-03 10:00:00,A001-BAT,Battery,75.819,2.642,71.771,57.929,1955.61,154.712,23.915,79.151,169,60.331,31.014,Normal,0,0
A001,2025-01-03 13:00:00,A001-BAT,Battery,78.45,2.802,71.8,53.904,1819.551,148.429,23.615,77.031,432,56.39,26.86,Normal,0,0
A001,2025-01-03 16:00:00,A001-BAT,Battery,76.117,2.987,82.797,56.223,1736.346,153.076,23.681,75.62,451,67.878,30.155,Normal,0,0
A001,2025-01-03 17:00:00,A001-BAT,Battery,76.882,2.185,76.497,52.548,1670.193,148.954,23.834,75.238,217,67.32,23.289,Normal,0,0
A001,2025-01-03 23:00:00,A001-BAT,Battery,77.474,2.483,74.491,56.348,1877.937,149.959,24.097,77.757,552,70.649,31.447,Normal,0,0
A001,2025-01-04 05:00:00,A001-BAT,Battery,72.042,2.542,72.038,54.527,1775.353,147.69,23.986,77.605,256,63.95,32.049,Normal,0,0
A001,2025-01-04 20:00:00,A001-BAT,Battery,76.165,2.714,67.661,51.554,1637.044,139.851,23.306,79.95,436,62.004,36.453,Normal,0,0
A001,2025-01-04 22:00:00,A001-BAT,Battery,80.899,2.786,76.862,54.431,1762.907,141.594,23.658,74.231,540,70.223,37.584,Normal,0,0
A001,2025-01-05 09:00:00,A001-BAT,Battery,77.255,3.45,71.314,54.885,1717.576,146.0,24.202,76.54,359,66.87,20.644,Normal,0,0
A001,2025-01-05 10:00:00,A001-BAT,Battery,78.489,2.523,76.967,53.557,1781.634,146.708,23.479,79.039,293,65.282,33.259,Normal,0,0
A001,2025-01-05 11:00:00,A001-BAT,Battery,82.654,2.472,77.143,56.933,1723.306,157.58,24.027,79.617,287,63.521,28.914,Normal,0,0
A001,2025-01-05 15:00:00,A001-BAT,Battery,78.349,3.381,74.011,51.595,1677.577,142.904,23.048,77.994,595,72.547,29.933,Normal,0,0
A001,2025-01-05 17:00:00,A001-BAT,Battery,77.707,2.827,73.814,52.907,1703.547,147.173,23.275,78.471,404,54.471,33.56,Normal,0,0
A001,2025-01-05 19:00:00,A001-BAT,Battery,77.846,2.8,77.11,53.507,1625.892,143.49,22.693,77.407,362,62.29,27.878,Normal,0,0
A001,2025-01-05 20:00:00,A001-BAT,Battery,89.961,6.952,61.3,54.749,1888.333,134.175,24.355,75.981,248,69.853,21.563,Warning,1,1
A001,2025-01-05 23:00:00,A001-BAT,Battery,76.89,3.185,73.718,51.2,1686.385,148.63,24.003,73.547,392,66.813,35.948,Normal,0,0
A001,2025-01-06 03:00:00,A001-BAT,Battery,80.499,3.148,76.5,49.389,1943.141,149.963,24.008,75.635,478,57.651,30.73,Normal,0,1
A001,2025-01-06 07:00:00,A001-BAT,Battery,73.642,3.441,74.502,52.595,1774.746,142.41,23.26,77.099,347,74.374,26.802,Normal,0,0
A001,2025-01-06 08:00:00,A001-BAT,Battery,87.664,4.973,57.648,50.895,1675.625,130.622,23.179,79.02,574,60.883,41.873,Warning,1,0
A001,2025-01-06 12:00:00,A001-BAT,Battery,79.508,2.843,72.048,54.638,1755.743,151.921,23.333,77.062,568,59.608,27.172,Normal,0,0
A001,2025-01-06 17:00:00,A001-BAT,Battery,77.962,3.192,72.235,55.301,1883.937,150.223,23.498,74.21,326,71.326,36.109,Normal,0,0
A001,2025-01-07 06:00:00,A001-BAT,Battery,79.347,3.373,73.709,55.805,1807.908,149.693,23.656,78.567,418,61.738,41.071,Normal,0,1
A001,2025-01-07 12:00:00,A001-BAT,Battery,78.469,3.39,72.52,53.146,1673.378,140.139,23.44,79.013,327,56.07,29.828,Normal,0,0
A001,2025-01-07 13:00:00,A001-BAT,Battery,79.598,3.343,70.106,54.139,1892.017,151.146,23.496,77.989,392,61.387,32.339,Normal,0,0
A001,2025-01-07 17:00:00,A001-BAT,Battery,77.755,3.336,70.913,53.089,1822.404,151.373,23.629,81.543,363,65.912,28.339,Normal,0,1
A001,2025-01-08 00:00:00,A001-BAT,Battery,76.925,2.864,73.356,54.042,1852.135,156.643,23.593,80.17,512,58.489,23.565,Normal,0,0
A001,2025-01-08 03:00:00,A001-BAT,Battery,80.521,3.185,68.094,52.807,1837.473,143.501,23.708,81.092,411,68.312,14.681,Normal,0,1
A001,2025-01-08 07:00:00,A001-BAT,Battery,84.706,3.181,73.679,56.203,1902.623,147.859,22.641,80.408,380,49.791,37.35,Normal,0,1
A001,2025-01-08 09:00:00,A001-BAT,Battery,97.267,5.062,61.591,52.289,1935.183,141.324,23.697,80.668,420,67.374,30.988,Warning,1,1
A001,2025-01-08 11:00:00,A001-BAT,Battery,78.353,2.437,73.811,52.259,1803.837,147.416,23.367,81.056,585,55.534,27.415,Normal,0,0
A001,2025-01-08 13:00:00,A001-BAT,Battery,78.185,3.641,73.213,52.247,1722.065,141.148,23.559,78.816,514,48.944,27.321,Normal,0,1
A001,2025-01-08 15:00:00,A001-BAT,Battery,84.627,3.104,72.428,57.272,1663.002,151.823,23.095,79.78,340,66.106,25.21,Normal,0,1
A001,2025-01-08 16:00:00,A001-BAT,Battery,80.081,3.658,72.126,53.76,1851.406,143.814,23.707,81.239,527,88.938,28.119,Warning,1,0
A001,2025-01-08 17:00:00,A001-BAT,Battery,78.082,3.172,73.783,51.957,1763.052,148.046,23.794,78.416,665,53.433,20.417,Normal,0,1
