asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,anomaly_label,failure_within_50_hours
A001,01-01-2025 05:00,A001-ENG,Engine,73.148,2.476,78.175,54.58,1685.188,145.404,23.663,76.119,328,58.061,33.452,0,0
A001,01-01-2025 12:00,A001-ENG,Engine,74.555,3.008,74.642,52.54,1713.139,146.949,24.709,73.657,375,64.067,25.485,0,0
A001,02-01-2025 02:00,A001-ENG,Engine,75.411,2.742,76.645,58.037,1614.309,147.311,24.129,72.487,354,70.042,31.842,0,0
A001,02-01-2025 04:00,A001-ENG,Engine,72.654,2.795,77.681,54.813,1919.606,153.077,24.211,76.808,419,76.981,28.974,0,1
A001,02-01-2025 06:00,A001-ENG,Engine,75.918,2.977,75.876,56.295,1820.629,151.745,23.663,75.391,481,60.059,34.103,0,0
A001,02-01-2025 09:00,A001-ENG,Engine,70.283,3.068,73.958,53.685,1703.722,146.97,24.051,75.447,149,61.301,31.81,0,0
A001,02-01-2025 13:00,A001-ENG,Engine,74.554,2.485,76.466,53.019,1859.903,153.879,24.017,75.353,505,62.554,28.457,0,0
A001,02-01-2025 14:00,A001-ENG,Engine,81.142,5.458,66.726,56.505,1735.247,132.697,22.848,74.863,435,78.348,32.174,1,0
A001,02-01-2025 17:00,A001-ENG,Engine,73.034,2.86,74.862,54.186,1785.673,150.301,23.524,77.439,174,64.473,31.925,0,0
A001,02-01-2025 22:00,A001-ENG,Engine,72.664,2.874,71.651,55.548,1727.406,144.294,24.112,76.633,295,54.573,37.256,0,0
A001,03-01-2025 01:00,A001-ENG,Engine,71.013,2.86,74.174,58.328,1784.324,156.059,23.467,77.4,548,62.227,25.655,0,0
A001,03-01-2025 07:00,A001-ENG,Engine,71.778,2.502,78.683,55.153,1869.059,144.752,23.443,77.271,283,60.513,32.744,0,0
A001,03-01-2025 08:00,A001-ENG,Engine,91.685,5.018,58.231,50.085,1890.157,136.219,23.475,72.68,523,60.902,34.654,1,1
A001,03-01-2025 09:00,A001-ENG,Engine,80.702,3.458,77.83,52.731,1876.952,151.846,23.984,78.924,524,65.255,33.7,0,1
A001,03-01-2025 11:00,A001-ENG,Engine,72.383,2.822,74.751,58.153,1880.479,149.308,23.91,76.563,228,58.674,24.588,0,0
A001,03-01-2025 18:00,A001-ENG,Engine,76.547,2.514,76.621,54.631,1629.725,141.341,23.798,76.208,353,59.907,29.86,0,0
A001,03-01-2025 19:00,A001-ENG,Engine,72.95,2.488,75.513,56.987,1761.179,139.156,23.203,75.009,560,56.335,27.958,0,0
A001,04-01-2025 08:00,A001-ENG,Engine,76.544,3.775,71.087,57.344,1813.486,150.645,23.801,77.889,477,60.38,37.27,0,0
A001,04-01-2025 10:00,A001-ENG,Engine,74.863,3.429,75.1,54.083,1838.934,149.223,23.793,76.233,351,50.549,22.282,0,0
A001,04-01-2025 11:00,A001-ENG,Engine,76.381,3.209,74.921,53.065,1910.366,155.279,23.924,79.022,352,71.733,35.65,0,0
A001,04-01-2025 12:00,A001-ENG,Engine,73.646,3.179,71.061,52.781,1917.321,152.311,24.269,76.557,204,52.641,28.798,0,1
A001,04-01-2025 14:00,A001-ENG,Engine,74.214,2.85,72.696,57.118,1785.156,154.079,23.764,77.224,244,61.274,30.019,0,0
A001,04-01-2025 16:00,A001-ENG,Engine,76.513,3.465,68.243,51.505,1693.164,147.447,23.647,74.185,367,54.228,25.696,0,0
A001,04-01-2025 21:00,A001-ENG,Engine,91.817,5.043,64.618,55.422,1850.957,138.741,23.328,74.957,591,63.114,31.635,1,1
A001,05-01-2025 01:00,A001-ENG,Engine,71.353,2.278,76.18,54.393,1822.54,143.482,23.701,81.432,207,69.265,30.849,0,0
A001,05-01-2025 05:00,A001-ENG,Engine,77.575,3.142,78.759,55.18,1859.21,159.58,23.622,75.929,239,66.344,32.195,0,0
A001,05-01-2025 07:00,A001-ENG,Engine,76.325,2.873,76.361,50.761,1877.58,147.194,23.823,75.321,569,73.676,36.228,0,0
A001,05-01-2025 13:00,A001-ENG,Engine,69.751,2.591,76.752,52.853,1832.453,143.075,24.177,77.437,412,65.742,41.629,0,0
A001,05-01-2025 16:00,A001-ENG,Engine,82.47,2.529,72.914,57.572,1840.498,150.853,23.704,78.46,569,69.83,25.953,0,0
A001,06-01-2025 01:00,A001-ENG,Engine,78.096,3.625,71.041,53.983,1901.942,153.546,23.139,77.4,385,75.037,32.54,0,0
A001,06-01-2025 02:00,A001-ENG,Engine,78.25,2.988,73.584,54.242,1738.974,150.604,24.654,74.496,585,66.826,26.199,0,1
A001,06-01-2025 04:00,A001-ENG,Engine,73.177,3.425,73.671,53.662,1667.6,150.462,22.783,79.397,536,52.422,30.267,0,0
A001,06-01-2025 06:00,A001-ENG,Engine,77.393,3.721,76.589,52.663,1820.157,148.433,23.721,76.753,619,63.77,22.01,0,0
A001,06-01-2025 11:00,A001-ENG,Engine,77.723,3.035,69.905,52.984,1882.316,142.889,23.541,76.635,483,65.688,28.057,0,1
A001,06-01-2025 20:00,A001-ENG,Engine,77.321,3.379,74.518,52.566,1784.821,152.425,23.718,75.706,310,70.604,24.577,0,1
A001,06-01-2025 23:00,A001-ENG,Engine,76.202,2.757,67.88,53.395,1747.657,142.008,23.73,77.675,527,56.941,27.227,0,1
A001,07-01-2025 08:00,A001-ENG,Engine,78.828,3.179,71.439,55.024,1842.894,148.159,23.268,79.06,272,65.551,23.333,0,0
A001,07-01-2025 09:00,A001-ENG,Engine,78.973,3.026,76.341,52.866,1859.354,146.5,23.581,80.299,364,62.471,34.983,0,0
A001,07-01-2025 16:00,A001-ENG,Engine,80.601,3.413,73.041,52.182,1806.09,147.888,23.588,83.413,368,62.419,32.111,0,0
A001,07-01-2025 22:00,A001-ENG,Engine,78.885,3.166,70.777,52.676,1784.083,148.288,23.714,81.312,344,64.63,27.719,0,0
A001,08-01-2025 04:00,A001-ENG,Engine,74.069,3.697,72.724,55.92,1824.926,149.684,23.611,80.695,351,85.579,34.855,0,1
A001,08-01-2025 12:00,A001-ENG,Engine,80.941,3.687,72.418,49.728,1863.537,141.11,23.568,77.725,662,58.581,27.79,0,0
A001,08-01-2025 20:00,A001-ENG,Engine,79.504,3.61,70.616,55.122,1731.421,152.013,24.21,79.456,462,50.819,27.26,0,0
A001,08-01-2025 22:00,A001-ENG,Engine,88.05,4.845,66.468,54.685,1645.967,136.749,24.054,79.322,688,54.081,39.465,1,1
A001,08-01-2025 23:00,A001-ENG,Engine,80.211,3.386,71.873,55.659,1722.119,141.125,23.642,81.037,471,72.389,32.039,0,0
A001,09-01-2025 01:00,A001-ENG,Engine,83.247,3.864,73.168,53.645,1919.534,154.317,23.818,77.942,490,70.283,32.198,1,1
A001,09-01-2025 02:00,A001-ENG,Engine,81.29,3.862,72.708,53.399,1834.314,144.312,23.081,82.383,409,79.713,25.044,1,0
A001,09-01-2025 04:00,A001-ENG,Engine,80.467,2.684,74.806,52.442,1927.019,147.199,23.484,82.258,477,61.679,25.036,0,0
A001,09-01-2025 07:00,A001-ENG,Engine,81.559,3.788,71.327,53.08,1859.786,145.172,23.609,79.799,693,61.292,25.216,0,0
A001,09-01-2025 10:00,A001-ENG,Engine,81.143,3.293,73.004,56.617,1845.779,140.381,23.553,82.516,435,67.462,34.978,0,0
A001,09-01-2025 11:00,A001-ENG,Engine,75.569,3.296,75.287,49.658,1684.845,143.334,23.369,79.344,385,80.49,34.772,0,0
A001,09-01-2025 13:00,A001-ENG,Engine,89.999,6.219,59.808,53.598,1810.344,134.998,23.749,77.953,659,70.827,36.45,1,0
A001,09-01-2025 20:00,A001-ENG,Engine,75.441,3.512,68.45,52.141,1767.201,145.668,23.177,80.314,326,65.577,22.688,0,0
A001,10-01-2025 02:00,A001-ENG,Engine,81.168,3.616,72.124,52.571,1770.08,144.005,23.494,80.262,701,64.929,26.689,0,1
A001,10-01-2025 04:00,A001-ENG,Engine,85.19,3.444,66.143,54.065,1975.014,153.554,23.981,78.46,581,77.657,26.39,1,1
A001,10-01-2025 05:00,A001-ENG,Engine,78.809,3.762,73.712,53.896,1678.462,145.991,23.076,82.264,565,79.847,35.282,1,0
A001,10-01-2025 13:00,A001-ENG,Engine,77.344,3.184,72.233,53.083,1851.467,142.219,23.438,82.908,396,74.816,30.696,0,1
A001,10-01-2025 16:00,A001-ENG,Engine,81.471,3.642,76.682,51.569,1877.314,147.931,22.754,82.341,642,81.25,25.714,1,1
A001,10-01-2025 17:00,A001-ENG,Engine,83.48,3.33,68.698,53.711,1752.983,145.204,23.56,78.502,572,63.929,30.77,1,0
A001,10-01-2025 18:00,A001-ENG,Engine,83.233,3.222,76.016,50.977,1919.563,144.449,24.003,82.033,574,63.106,27.389,0,0
A001,10-01-2025 20:00,A001-ENG,Engine,82.669,3.695,72.017,54.343,1796.159,148.702,23.038,81.639,595,76.707,26.652,1,1
A001,10-01-2025 21:00,A001-ENG,Engine,78.167,3.951,74.054,54.297,1977.498,146.281,24.35,80.47,362,73.463,28.011,1,1
A001,11-01-2025 01:00,A001-ENG,Engine,79.292,3.398,67.905,50.348,1726.035,147.333,22.864,80.793,372,80.14,23.491,1,0
A001,11-01-2025 03:00,A001-ENG,Engine,78.597,3.886,72.436,50.544,1908.744,155.899,23.622,83.929,594,72.48,21.692,1,0
A001,11-01-2025 04:00,A001-ENG,Engine,78.903,3.512,72.789,50.264,1759.601,152.989,22.892,82.84,354,67.981,32.729,1,0
A001,11-01-2025 08:00,A001-ENG,Engine,77.913,3.925,70.155,51.083,1780.457,148.009,23.083,82.308,486,67.445,33.102,1,1
A001,11-01-2025 15:00,A001-ENG,Engine,80.822,3.238,70.335,53.539,1829.24,154.326,23.001,81.228,369,75.956,29.883,1,0
A001,11-01-2025 16:00,A001-ENG,Engine,78.866,2.975,69.021,50.986,1852.541,149.204,22.916,80.88,603,57.743,27.528,0,0
A001,11-01-2025 18:00,A001-ENG,Engine,81.898,3.917,71.312,55.522,1800.719,146.314,23.599,79.493,644,95.25,31.876,1,0
