asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,sensor_status,anomaly_label,failure_within_50_hours
A001,2025-01-01 00:00:00,A001-PMP,Fuel Pump,76.221,1.936,72.875,55.256,1771.538,149.933,23.701,76.759,275,62.832,30.33,Normal,0,0
A001,2025-01-01 01:00:00,A001-PMP,Fuel Pump,74.822,2.287,78.306,54.893,1783.362,147.264,24.425,74.716,278,53.245,28.239,Normal,0,0
A001,2025-01-01 06:00:00,A001-PMP,Fuel Pump,73.276,2.802,74.355,54.229,1765.644,145.142,24.152,74.211,419,57.084,32.404,Normal,0,0
A001,2025-01-01 09:00:00,A001-PMP,Fuel Pump,78.144,2.569,73.391,55.291,1819.8,155.324,24.265,75.939,281,68.878,24.056,Normal,0,0
A001,2025-01-01 11:00:00,A001-PMP,Fuel Pump,72.167,2.515,74.38,54.636,1895.938,150.491,23.911,73.204,300,43.899,27.568,Normal,0,0
A001,2025-01-01 13:00:00,A001-PMP,Fuel Pump,74.158,2.439,76.985,53.993,1689.695,144.726,24.021,78.483,229,58.702,29.407,Normal,0,0
A001,2025-01-01 17:00:00,A001-PMP,Fuel Pump,73.82,2.768,76.232,52.704,1808.144,150.7,24.83,79.179,231,50.846,28.563,Normal,0,0
A001,2025-01-01 18:00:00,A001-PMP,Fuel Pump,89.963,4.551,66.768,50.57,1785.36,129.335,23.761,73.696,431,56.98,21.211,Warning,1,0
A001,2025-01-01 20:00:00,A001-PMP,Fuel Pump,73.081,2.859,78.262,55.161,1831.658,149.963,23.94,74.057,142,60.391,29.514,Normal,0,0
A001,2025-01-01 21:00:00,A001-PMP,Fuel Pump,72.592,2.309,78.688,55.368,1843.213,142.759,24.262,76.434,349,49.038,27.642,Normal,0,0
A001,2025-01-01 22:00:00,A001-PMP,Fuel Pump,74.271,2.613,76.072,57.778,1569.001,148.778,23.996,76.142,378,55.009,21.216,Normal,0,0
A001,2025-01-01 23:00:00,A001-PMP,Fuel Pump,76.719,2.59,75.517,52.722,1769.899,154.913,24.135,79.04,216,67.466,32.195,Normal,0,0
A001,2025-01-02 01:00:00,A001-PMP,Fuel Pump,71.69,2.532,79.408,56.088,1737.096,145.633,23.936,73.192,499,52.803,31.56,Normal,0,0
A001,2025-01-02 08:00:00,A001-PMP,Fuel Pump,75.06,2.446,74.004,51.799,1720.068,148.168,24.185,79.242,333,47.552,31.964,Normal,0,0
A001,2025-01-02 10:00:00,A001-PMP,Fuel Pump,77.558,2.631,78.237,55.512,1788.198,150.97,24.581,80.004,254,59.289,30.801,Normal,0,0
A001,2025-01-02 11:00:00,A001-PMP,Fuel Pump,74.855,2.86,73.347,51.558,1613.431,145.093,23.734,75.289,306,74.295,35.53,Normal,0,0
A001,2025-01-02 18:00:00,A001-PMP,Fuel Pump,74.912,2.669,73.406,52.62,1687.998,145.92,23.849,76.719,449,59.643,26.172,Normal,0,0
A001,2025-01-02 20:00:00,A001-PMP,Fuel Pump,76.976,3.483,72.309,52.995,1821.19,155.894,23.44,76.598,456,73.93,21.741,Normal,0,1
A001,2025-01-02 21:00:00,A001-PMP,Fuel Pump,77.251,2.872,70.793,55.693,1748.022,154.535,23.645,74.852,455,63.751,33.815,Normal,0,1
A001,2025-01-03 03:00:00,A001-PMP,Fuel Pump,72.108,3.103,75.984,59.383,1837.817,150.913,23.789,77.909,412,64.798,36.259,Normal,0,0
A001,2025-01-03 12:00:00,A001-PMP,Fuel Pump,76.948,2.981,70.463,54.305,1889.613,153.487,24.179,76.578,180,53.599,24.582,Normal,0,0
A001,2025-01-03 14:00:00,A001-PMP,Fuel Pump,76.413,2.453,73.687,57.411,1695.413,140.758,23.162,76.608,320,60.732,29.412,Normal,0,0
A001,2025-01-03 15:00:00,A001-PMP,Fuel Pump,79.663,2.461,73.921,53.022,1719.509,147.907,24.311,80.25,455,57.859,39.525,Normal,0,0
A001,2025-01-03 21:00:00,A001-PMP,Fuel Pump,73.249,2.615,75.743,55.594,1744.005,153.087,24.198,79.598,209,65.157,36.817,Normal,0,0
A001,2025-01-04 00:00:00,A001-PMP,Fuel Pump,76.987,1.612,70.382,55.364,1842.978,144.45,23.535,79.541,246,57.237,41.215,Normal,0,0
A001,2025-01-04 01:00:00,A001-PMP,Fuel Pump,76.387,2.542,74.396,54.381,1677.173,148.064,23.521,78.674,490,61.449,28.586,Normal,0,0
