asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,sensor_status,anomaly_label,failure_within_50_hours
A001,2025-01-01 02:00:00,A001-HYD,Hydraulic System,75.007,3.376,75.074,53.961,1726.76,152.439,24.389,74.822,119,50.013,25.878,Normal,0,0
A001,2025-01-01 07:00:00,A001-HYD,Hydraulic System,73.022,2.618,71.772,52.053,1680.957,145.924,24.119,73.364,285,54.022,36.496,Normal,0,0
A001,2025-01-01 08:00:00,A001-HYD,Hydraulic System,73.596,2.317,75.123,56.621,1644.541,151.638,24.059,74.012,394,45.541,30.361,Normal,0,0
A001,2025-01-01 10:00:00,A001-HYD,Hydraulic System,70.728,2.879,75.375,51.983,1708.598,151.129,24.263,79.243,480,80.545,32.072,Normal,0,0
A001,2025-01-01 14:00:00,A001-HYD,Hydraulic System,73.262,3.059,76.922,57.967,1816.491,144.927,23.479,78.652,240,71.274,29.102,Normal,0,0
A001,2025-01-01 15:00:00,A001-HYD,Hydraulic System,77.833,2.362,77.439,54.098,1799.539,149.159,24.073,78.19,354,58.272,33.22,Normal,0,0
A001,2025-01-01 16:00:00,A001-HYD,Hydraulic System,71.303,2.372,74.975,56.712,1680.625,149.923,23.783,74.745,318,65.631,32.691,Normal,0,0
A001,2025-01-02 00:00:00,A001-HYD,Hydraulic System,73.848,2.732,73.907,56.799,1693.953,152.829,23.861,77.942,385,64.116,39.103,Normal,0,1
A001,2025-01-02 05:00:00,A001-HYD,Hydraulic System,75.009,3.186,71.545,52.279,1655.885,146.461,24.067,76.773,364,60.632,22.936,Normal,0,0
A001,2025-01-02 07:00:00,A001-HYD,Hydraulic System,89.487,6.621,65.126,52.175,1666.603,132.251,23.67,77.274,393,56.268,30.989,Warning,1,1
A001,2025-01-02 12:00:00,A001-HYD,Hydraulic System,74.239,2.819,76.958,54.051,1895.747,144.982,23.894,81.095,362,60.644,37.166,Normal,0,0
A001,2025-01-02 15:00:00,A001-HYD,Hydraulic System,75.901,2.999,73.629,56.503,1946.604,145.632,23.572,78.647,143,57.516,37.019,Normal,0,0
A001,2025-01-02 16:00:00,A001-HYD,Hydraulic System,75.715,3.317,74.426,52.818,1759.629,151.309,23.332,77.275,172,54.799,35.739,Normal,0,0
A001,2025-01-02 19:00:00,A001-HYD,Hydraulic System,86.303,6.376,61.707,51.781,1793.882,134.7,23.556,76.455,219,47.658,36.681,Warning,1,0
A001,2025-01-02 23:00:00,A001-HYD,Hydraulic System,73.731,2.96,73.857,53.824,1922.638,145.25,23.015,79.397,148,79.941,27.974,Normal,0,0
A001,2025-01-03 00:00:00,A001-HYD,Hydraulic System,74.835,2.409,76.619,55.689,1665.503,152.197,24.574,76.544,306,56.911,29.29,Normal,0,0
A001,2025-01-03 04:00:00,A001-HYD,Hydraulic System,74.341,2.646,77.067,57.607,1758.704,147.651,23.954,75.808,477,67.476,18.741,Normal,0,1
A001,2025-01-03 05:00:00,A001-HYD,Hydraulic System,73.051,2.498,74.567,56.828,1777.945,145.214,23.821,78.423,169,52.114,25.447,Normal,0,0
A001,2025-01-03 06:00:00,A001-HYD,Hydraulic System,75.456,3.067,72.463,54.571,1781.038,144.461,23.291,77.721,311,57.177,24.889,Normal,0,0
A001,2025-01-03 20:00:00,A001-HYD,Hydraulic System,74.22,2.572,75.967,51.419,1835.072,149.56,23.744,79.877,232,55.882,40.301,Normal,0,0
A001,2025-01-03 22:00:00,A001-HYD,Hydraulic System,76.268,2.682,74.315,58.239,1784.725,150.78,23.709,76.901,234,61.032,32.242,Normal,0,0
