maintenance_id,asset_id,component_id,component_type,maintenance_date,operating_hours,maintenance_type,issue_detected,failure_type,component_condition,parts_replaced,maintenance_duration_hours,failure_occurred,next_maintenance_due_hours
M00001,A001,A001-HYD,Hydraulic System,2025-03-01,5120,Preventive,Overstrain indicators detected,Overstrain,Degraded,Seal,9.3,1,5786
M00002,A001,A001-ENG,Engine,2024-04-04,6880,Corrective,Routine inspection,None,Good,None,1.5,0,7658
M00003,A001,A001-PMP,Fuel Pump,2024-05-02,5830,Inspection,Routine inspection,None,Good,None,8.0,0,6034
M00004,A001,A001-PMP,Fuel Pump,2025-09-26,6174,Inspection,Tool Wear indicators detected,Tool Wear,Poor,Valve,9.4,1,6435
M00005,A001,A001-BAT,Battery,2025-07-04,1697,Corrective,Overstrain indicators detected,Overstrain,Degraded,Bearing,5.9,1,1911
M00006,A002,A002-BAT,Battery,2025-04-01,7866,Inspection,Routine inspection,None,Good,None,8.3,0,8515
M00007,A002,A002-BAT,Battery,2024-12-20,5668,Corrective,Routine inspection,None,Good,None,8.4,0,5936
M00008,A002,A002-PMP,Fuel Pump,2024-12-15,3475,Inspection,Routine inspection,None,Good,None,10.6,0,4001
M00009,A002,A002-BAT,Battery,2025-11-01,7143,Inspection,Routine inspection,None,Fair,None,6.4,0,7603
M00010,A002,A002-HYD,Hydraulic System,2024-09-01,7322,Inspection,Routine inspection,None,Good,None,2.7,0,7921
M00011,A003,A003-BAT,Battery,2024-04-14,4637,Corrective,Routine inspection,None,Fair,None,6.1,0,5149
M00012,A003,A003-PMP,Fuel Pump,2024-10-19,5027,Inspection,Electrical indicators detected,Electrical,Poor,Filter,6.6,1,5237
M00013,A003,A003-PMP,Fuel Pump,2024-08-25,4836,Corrective,Electrical indicators detected,Electrical,Poor,Pump,4.3,1,5103
M00014,A003,A003-HYD,Hydraulic System,2025-02-05,6455,Preventive,Overheating indicators detected,Overheating,Poor,Pump,9.9,1,7028
M00015,A003,A003-ENG,Engine,2024-05-18,263,Inspection,Routine inspection,None,Fair,None,4.8,0,999
M00016,A004,A004-BAT,Battery,2025-09-26,3170,Inspection,Pressure Drop indicators detected,Pressure Drop,Degraded,Battery,10.5,1,3934
M00017,A004,A004-BAT,Battery,2025-11-05,6201,Corrective,Overheating indicators detected,Overheating,Poor,Filter,6.1,1,6438
M00018,A004,A004-HYD,Hydraulic System,2025-07-31,3078,Preventive,Routine inspection,None,Good,None,8.9,0,3355
M00019,A004,A004-PMP,Fuel Pump,2025-02-03,1056,Corrective,Routine inspection,None,Fair,None,2.3,0,1719
M00020,A004,A004-PMP,Fuel Pump,2025-08-09,6289,Corrective,Routine inspection,None,Fair,None,11.2,0,7002
M00021,A004,A004-ENG,Engine,2024-12-03,6801,Inspection,Routine inspection,None,Good,None,5.1,0,7524
M00022,A004,A004-BAT,Battery,2024-07-14,770,Corrective,Routine inspection,None,Fair,None,10.6,0,1147
M00023,A004,A004-HYD,Hydraulic System,2024-05-02,3613,Corrective,Routine inspection,None,Fair,None,3.7,0,4072
M00024,A005,A005-ENG,Engine,2025-06-11,7619,Corrective,Routine inspection,None,Good,None,3.7,0,8310
M00025,A005,A005-ENG,Engine,2024-01-06,1825,Inspection,Routine inspection,None,Good,None,6.1,0,2322
M00026,A005,A005-BAT,Battery,2024-03-31,2252,Inspection,Overheating indicators detected,Overheating,Degraded,Seal,4.6,1,2745
M00027,A005,A005-BAT,Battery,2024-10-06,148,Inspection,Routine inspection,None,Fair,None,8.0,0,818
M00028,A005,A005-BAT,Battery,2024-10-21,2450,Corrective,Routine inspection,None,Fair,None,2.0,0,2966
M00029,A005,A005-HYD,Hydraulic System,2025-09-22,5124,Inspection,Routine inspection,None,Fair,None,7.1,0,5729
M00030,A005,A005-HYD,Hydraulic System,2025-06-20,6383,Corrective,Routine inspection,None,Fair,None,3.7,0,7036
M00031,A006,A006-HYD,Hydraulic System,2025-07-29,6362,Preventive,Routine inspection,None,Good,None,2.1,0,7149
M00032,A006,A006-HYD,Hydraulic System,2025-02-06,1389,Inspection,Routine inspection,None,Good,None,4.3,0,2061
M00033,A006,A006-BAT,Battery,2025-08-21,1773,Corrective,Routine inspection,None,Good,None,1.7,0,2523
M00034,A006,A006-BAT,Battery,2024-07-06,3306,Corrective,Routine inspection,None,Fair,None,6.2,0,3612
M00035,A006,A006-HYD,Hydraulic System,2024-11-08,2558,Inspection,Routine inspection,None,Good,None,11.9,0,3064
M00036,A007,A007-ENG,Engine,2024-06-22,7518,Inspection,Routine inspection,None,Fair,None,2.5,0,8223
M00037,A007,A007-PMP,Fuel Pump,2024-06-28,1898,Preventive,Routine inspection,None,Good,None,4.5,0,2666
M00038,A007,A007-PMP,Fuel Pump,2024-02-17,1348,Preventive,Routine inspection,None,Fair,None,10.4,0,2074
M00039,A007,A007-ENG,Engine,2025-06-06,3384,Inspection,Overheating indicators detected,Overheating,Poor,Bearing,11.6,1,4161
M00040,A007,A007-BAT,Battery,2024-01-11,2840,Preventive,Routine inspection,None,Fair,None,6.5,0,3187
M00041,A007,A007-PMP,Fuel Pump,2024-04-11,4565,Preventive,Overstrain indicators detected,Overstrain,Poor,Seal,1.1,1,5043
M00042,A007,A007-PMP,Fuel Pump,2024-09-18,2787,Corrective,Overstrain indicators detected,Overstrain,Degraded,Seal,7.1,1,3380
M00043,A008,A008-ENG,Engine,2025-07-15,6614,Preventive,Routine inspection,None,Fair,None,8.1,0,6886
M00044,A008,A008-ENG,Engine,2024-11-18,7907,Inspection,Routine inspection,None,Good,None,1.7,0,8332
M00045,A008,A008-PMP,Fuel Pump,2024-03-14,1216,Corrective,Routine inspection,None,Fair,None,10.9,0,1994
M00046,A008,A008-BAT,Battery,2024-10-31,5070,Preventive,Routine inspection,None,Fair,None,4.7,0,5584
M00047,A009,A009-PMP,Fuel Pump,2024-07-30,6054,Preventive,Routine inspection,None,Good,None,6.1,0,6275
M00048,A009,A009-BAT,Battery,2025-06-23,7321,Preventive,Routine inspection,None,Good,None,3.1,0,7972
M00049,A009,A009-HYD,Hydraulic System,2024-02-17,6064,Preventive,Overstrain indicators detected,Overstrain,Poor,Bearing,7.8,1,6780
