asset_id,timestamp,component_id,component_type,temperature,vibration,oil_pressure,fuel_pressure,rpm,hydraulic_pressure,battery_voltage,coolant_temperature,operating_hours,load_percentage,ambient_temperature,sensor_status,anomaly_label,failure_within_50_hours
A001,2025-01-01 00:00:00,A001-PMP,Fuel Pump,76.221,1.936,72.875,55.256,1771.538,149.933,23.701,76.759,275,62.832,30.33,Normal,0,0
A001,2025-01-01 01:00:00,A001-PMP,Fuel Pump,74.822,2.287,78.306,54.893,1783.362,147.264,24.425,74.716,278,53.245,28.239,Normal,0,0
A001,2025-01-01 02:00:00,A001-HYD,Hydraulic System,75.007,3.376,75.074,53.961,1726.76,152.439,24.389,74.822,119,50.013,25.878,Normal,0,0
A001,2025-01-01 03:00:00,A001-BAT,Battery,71.032,2.821,74.406,55.442,1810.502,150.837,24.296,75.522,277,62.228,30.338,Normal,0,0
A001,2025-01-01 04:00:00,A001-BAT,Battery,73.191,2.47,74.453,54.42,1934.545,146.487,24.327,71.734,369,54.18,30.814,Normal,0,0
A001,2025-01-01 05:00:00,A001-ENG,Engine,73.148,2.476,78.175,54.58,1685.188,145.404,23.663,76.119,328,58.061,33.452,Normal,0,0
A001,2025-01-01 06:00:00,A001-PMP,Fuel Pump,73.276,2.802,74.355,54.229,1765.644,145.142,24.152,74.211,419,57.084,32.404,Normal,0,0
A001,2025-01-01 07:00:00,A001-HYD,Hydraulic System,73.022,2.618,71.772,52.053,1680.957,145.924,24.119,73.364,285,54.022,36.496,Normal,0,0
A001,2025-01-01 08:00:00,A001-HYD,Hydraulic System,73.596,2.317,75.123,56.621,1644.541,151.638,24.059,74.012,394,45.541,30.361,Normal,0,0
A001,2025-01-01 09:00:00,A001-PMP,Fuel Pump,78.144,2.569,73.391,55.291,1819.8,155.324,24.265,75.939,281,68.878,24.056,Normal,0,0
A001,2025-01-01 10:00:00,A001-HYD,Hydraulic System,70.728,2.879,75.375,51.983,1708.598,151.129,24.263,79.243,480,80.545,32.072,Normal,0,0
A001,2025-01-01 11:00:00,A001-PMP,Fuel Pump,72.167,2.515,74.38,54.636,1895.938,150.491,23.911,73.204,300,43.899,27.568,Normal,0,0
A001,2025-01-01 12:00:00,A001-ENG,Engine,74.555,3.008,74.642,52.54,1713.139,146.949,24.709,73.657,375,64.067,25.485,Normal,0,0
A001,2025-01-01 13:00:00,A001-PMP,Fuel Pump,74.158,2.439,76.985,53.993,1689.695,144.726,24.021,78.483,229,58.702,29.407,Normal,0,0
A001,2025-01-01 14:00:00,A001-HYD,Hydraulic System,73.262,3.059,76.922,57.967,1816.491,144.927,23.479,78.652,240,71.274,29.102,Normal,0,0
A001,2025-01-01 15:00:00,A001-HYD,Hydraulic System,77.833,2.362,77.439,54.098,1799.539,149.159,24.073,78.19,354,58.272,33.22,Normal,0,0
A001,2025-01-01 16:00:00,A001-HYD,Hydraulic System,71.303,2.372,74.975,56.712,1680.625,149.923,23.783,74.745,318,65.631,32.691,Normal,0,0
A001,2025-01-01 17:00:00,A001-PMP,Fuel Pump,73.82,2.768,76.232,52.704,1808.144,150.7,24.83,79.179,231,50.846,28.563,Normal,0,0
A001,2025-01-01 18:00:00,A001-PMP,Fuel Pump,89.963,4.551,66.768,50.57,1785.36,129.335,23.761,73.696,431,56.98,21.211,Warning,1,0
A001,2025-01-01 19:00:00,A001-BAT,Battery,73.519,2.81,80.072,52.884,1777.925,152.872,24.095,74.723,161,56.726,23.126,Normal,0,1
A001,2025-01-01 20:00:00,A001-PMP,Fuel Pump,73.081,2.859,78.262,55.161,1831.658,149.963,23.94,74.057,142,60.391,29.514,Normal,0,0
A001,2025-01-01 21:00:00,A001-PMP,Fuel Pump,72.592,2.309,78.688,55.368,1843.213,142.759,24.262,76.434,349,49.038,27.642,Normal,0,0
A001,2025-01-01 22:00:00,A001-PMP,Fuel Pump,74.271,2.613,76.072,57.778,1569.001,148.778,23.996,76.142,378,55.009,21.216,Normal,0,0
A001,2025-01-01 23:00:00,A001-PMP,Fuel Pump,76.719,2.59,75.517,52.722,1769.899,154.913,24.135,79.04,216,67.466,32.195,Normal,0,0
A001,2025-01-02 00:00:00,A001-HYD,Hydraulic System,73.848,2.732,73.907,56.799,1693.953,152.829,23.861,77.942,385,64.116,39.103,Normal,0,1
A001,2025-01-02 01:00:00,A001-PMP,Fuel Pump,71.69,2.532,79.408,56.088,1737.096,145.633,23.936,73.192,499,52.803,31.56,Normal,0,0
A001,2025-01-02 02:00:00,A001-ENG,Engine,75.411,2.742,76.645,58.037,1614.309,147.311,24.129,72.487,354,70.042,31.842,Normal,0,0
